FID,配号来源,用海一级类,用海二级类,用海方式
0,初始登记,渔业用海,围海养殖用海,围海养殖
1,初始登记,渔业用海,开放式养殖用海,开放式养殖
2,初始登记,渔业用海,开放式养殖用海,开放式养殖
3,初始登记,渔业用海,开放式养殖用海,开放式养殖
4,初始登记,渔业用海,开放式养殖用海,开放式养殖
5,变更登记,渔业用海,开放式养殖用海,开放式养殖
6,变更登记,渔业用海,开放式养殖用海,开放式养殖
7,变更登记,渔业用海,开放式养殖用海,开放式养殖
8,变更登记,渔业用海,围海养殖用海,非透水构筑物
9,变更登记,渔业用海,围海养殖用海,围海养殖
10,变更登记,渔业用海,围海养殖用海,非透水构筑物
11,变更登记,渔业用海,围海养殖用海,非透水构筑物
12,变更登记,渔业用海,围海养殖用海,非透水构筑物
13,变更登记,渔业用海,开放式养殖用海,开放式养殖
14,初始登记,渔业用海,围海养殖用海,围海养殖
15,变更登记,渔业用海,开放式养殖用海,开放式养殖
16,变更登记,渔业用海,开放式养殖用海,开放式养殖
17,变更登记,渔业用海,开放式养殖用海,开放式养殖
18,变更登记,渔业用海,开放式养殖用海,开放式养殖
19,变更登记,渔业用海,开放式养殖用海,开放式养殖
20,变更登记,渔业用海,开放式养殖用海,开放式养殖
21,变更登记,渔业用海,开放式养殖用海,开放式养殖
22,变更登记,渔业用海,开放式养殖用海,开放式养殖
23,初始登记,渔业用海,围海养殖用海,围海养殖
24,变更登记,渔业用海,开放式养殖用海,开放式养殖
25,变更登记,渔业用海,开放式养殖用海,开放式养殖
26,变更登记,渔业用海,开放式养殖用海,开放式养殖
27,变更登记,渔业用海,开放式养殖用海,开放式养殖
28,初始登记,交通运输用海,港口用海,建设填海造地
29,初始登记,交通运输用海,港口用海,建设填海造地
30,初始登记,交通运输用海,港口用海,建设填海造地
31,初始登记,交通运输用海,港口用海,建设填海造地
32,变更登记,渔业用海,开放式养殖用海,开放式养殖
33,变更登记,渔业用海,开放式养殖用海,开放式养殖
34,初始登记,渔业用海,围海养殖用海,围海养殖
35,初始登记,渔业用海,围海养殖用海,非透水构筑物
36,初始登记,渔业用海,围海养殖用海,非透水构筑物
37,初始登记,渔业用海,围海养殖用海,非透水构筑物
38,初始登记,渔业用海,围海养殖用海,围海养殖
39,初始登记,渔业用海,围海养殖用海,围海养殖
40,初始登记,渔业用海,围海养殖用海,围海养殖
41,初始登记,渔业用海,围海养殖用海,围海养殖
42,初始登记,渔业用海,围海养殖用海,围海养殖
43,初始登记,渔业用海,围海养殖用海,围海养殖
44,初始登记,渔业用海,围海养殖用海,围海养殖
45,初始登记,渔业用海,围海养殖用海,围海养殖
46,初始登记,渔业用海,围海养殖用海,围海养殖
47,初始登记,渔业用海,围海养殖用海,围海养殖
48,初始登记,渔业用海,围海养殖用海,围海养殖
49,初始登记,渔业用海,围海养殖用海,开放式养殖
50,变更登记,渔业用海,开放式养殖用海,开放式养殖
51,变更登记,渔业用海,开放式养殖用海,开放式养殖
52,初始登记,工业用海,电力工业用海,非透水构筑物
53,初始登记,工业用海,电力工业用海,非透水构筑物
54,初始登记,工业用海,电力工业用海,非透水构筑物
55,初始登记,工业用海,电力工业用海,非透水构筑物
56,初始登记,工业用海,电力工业用海,非透水构筑物
57,初始登记,工业用海,电力工业用海,非透水构筑物
58,初始登记,工业用海,电力工业用海,非透水构筑物
59,初始登记,工业用海,电力工业用海,非透水构筑物
60,初始登记,工业用海,电力工业用海,非透水构筑物
61,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
62,初始登记,工业用海,电力工业用海,非透水构筑物
63,初始登记,工业用海,电力工业用海,非透水构筑物
64,初始登记,工业用海,电力工业用海,非透水构筑物
65,初始登记,工业用海,电力工业用海,非透水构筑物
66,初始登记,工业用海,电力工业用海,非透水构筑物
67,初始登记,工业用海,电力工业用海,非透水构筑物
68,初始登记,工业用海,电力工业用海,非透水构筑物
69,初始登记,工业用海,电力工业用海,非透水构筑物
70,初始登记,工业用海,电力工业用海,非透水构筑物
71,初始登记,渔业用海,围海养殖用海,围海养殖
72,初始登记,其它用海, ,透水构筑物
73,初始登记,渔业用海,渔业基础设施用海,透水构筑物
74,初始登记,其它用海, ,透水构筑物
75,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
76,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
77,初始登记,渔业用海,开放式养殖用海,开放式养殖
78,初始登记,工业用海,电力工业用海,非透水构筑物
79,初始登记,工业用海,电力工业用海,非透水构筑物
80,初始登记,工业用海,电力工业用海,非透水构筑物
81,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
82,初始登记,工业用海,电力工业用海,非透水构筑物
83,初始登记,工业用海,电力工业用海,非透水构筑物
84,初始登记,渔业用海,开放式养殖用海,开放式养殖
85,初始登记,工业用海,电力工业用海,非透水构筑物
86,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
87,初始登记,工业用海,电力工业用海,非透水构筑物
88,初始登记,工业用海,电力工业用海,非透水构筑物
89,初始登记,工业用海,电力工业用海,非透水构筑物
90,初始登记,工业用海,电力工业用海,非透水构筑物
91,初始登记,工业用海,电力工业用海,非透水构筑物
92,初始登记,工业用海,电力工业用海,非透水构筑物
93,初始登记,工业用海,电力工业用海,非透水构筑物
94,变更登记,渔业用海,开放式养殖用海,开放式养殖
95,变更登记,渔业用海,开放式养殖用海,开放式养殖
96,初始登记,渔业用海,围海养殖用海,围海养殖
97,初始登记,渔业用海,围海养殖用海,围海养殖
98,初始登记,渔业用海,围海养殖用海,围海养殖
99,初始登记,渔业用海,围海养殖用海,围海养殖
100,初始登记,渔业用海,围海养殖用海,围海养殖
101,初始登记,工业用海,电力工业用海,非透水构筑物
102,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
103,初始登记,工业用海,电力工业用海,非透水构筑物
104,初始登记,工业用海,电力工业用海,非透水构筑物
105,初始登记,工业用海,电力工业用海,非透水构筑物
106,初始登记,工业用海,电力工业用海,非透水构筑物
107,初始登记,工业用海,电力工业用海,非透水构筑物
108,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
109,初始登记,工业用海,电力工业用海,非透水构筑物
110,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
111,初始登记,工业用海,电力工业用海,非透水构筑物
112,初始登记,工业用海,电力工业用海,非透水构筑物
113,初始登记,工业用海,电力工业用海,非透水构筑物
114,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
115,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
116,初始登记,工业用海,电力工业用海,非透水构筑物
117,初始登记,工业用海,电力工业用海,非透水构筑物
118,初始登记,渔业用海,围海养殖用海,围海养殖
119,初始登记,渔业用海,围海养殖用海,围海养殖
120,初始登记,渔业用海,围海养殖用海,围海养殖
121,初始登记,工业用海,电力工业用海,建设填海造地
122,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
123,初始登记,工业用海,电力工业用海,非透水构筑物
124,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
125,初始登记,渔业用海,开放式养殖用海,开放式养殖
126,初始登记,工业用海,电力工业用海,非透水构筑物
127,初始登记,工业用海,电力工业用海,非透水构筑物
128,初始登记,工业用海,电力工业用海,非透水构筑物
129,初始登记,工业用海,电力工业用海,非透水构筑物
130,初始登记,工业用海,电力工业用海,非透水构筑物
131,初始登记,工业用海,电力工业用海,非透水构筑物
132,初始登记,工业用海,电力工业用海,非透水构筑物
133,初始登记,工业用海,电力工业用海,非透水构筑物
134,初始登记,工业用海,电力工业用海,非透水构筑物
135,初始登记,工业用海,电力工业用海,非透水构筑物
136,初始登记,工业用海,电力工业用海,非透水构筑物
137,初始登记,工业用海,电力工业用海,非透水构筑物
138,初始登记,工业用海,电力工业用海,非透水构筑物
139,初始登记,渔业用海,围海养殖用海,围海养殖
140,初始登记,渔业用海,开放式养殖用海,开放式养殖
141,初始登记,渔业用海,围海养殖用海,围海养殖
142,初始登记,渔业用海,开放式养殖用海,开放式养殖
143,初始登记,渔业用海,围海养殖用海,围海养殖
144,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
145,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
146,初始登记,工业用海,电力工业用海,非透水构筑物
147,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
148,初始登记,渔业用海,围海养殖用海,开放式养殖
149,初始登记,工业用海,电力工业用海,非透水构筑物
150,初始登记,工业用海,电力工业用海,非透水构筑物
151,初始登记,工业用海,电力工业用海,非透水构筑物
152,初始登记,工业用海,电力工业用海,非透水构筑物
153,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
154,初始登记,工业用海,电力工业用海,非透水构筑物
155,初始登记,工业用海,电力工业用海,非透水构筑物
156,初始登记,工业用海,电力工业用海,非透水构筑物
157,初始登记,工业用海,电力工业用海,非透水构筑物
158,初始登记,工业用海,电力工业用海,非透水构筑物
159,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
160,初始登记,工业用海,电力工业用海,非透水构筑物
161,初始登记,工业用海,电力工业用海,非透水构筑物
162,初始登记,工业用海,电力工业用海,非透水构筑物
163,初始登记,工业用海,电力工业用海,非透水构筑物
164,初始登记,工业用海,电力工业用海,非透水构筑物
165,初始登记,工业用海,电力工业用海,非透水构筑物
166,初始登记,工业用海,电力工业用海,非透水构筑物
167,初始登记,工业用海,电力工业用海,非透水构筑物
168,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
169,初始登记,工业用海,电力工业用海,非透水构筑物
170,初始登记,工业用海,电力工业用海,非透水构筑物
171,初始登记,工业用海,电力工业用海,非透水构筑物
172,初始登记,工业用海,电力工业用海,非透水构筑物
173,初始登记,工业用海,电力工业用海,非透水构筑物
174,初始登记,渔业用海,围海养殖用海,开放式养殖
175,初始登记,工业用海,电力工业用海,非透水构筑物
176,初始登记,工业用海,电力工业用海,非透水构筑物
177,初始登记,工业用海,电力工业用海,非透水构筑物
178,初始登记,工业用海,电力工业用海,非透水构筑物
179,初始登记,工业用海,电力工业用海,非透水构筑物
180,初始登记,工业用海,电力工业用海,非透水构筑物
181,初始登记,工业用海,电力工业用海,非透水构筑物
182,初始登记,工业用海,电力工业用海,非透水构筑物
183,初始登记,工业用海,电力工业用海,非透水构筑物
184,初始登记,工业用海,电力工业用海,非透水构筑物
185,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
186,初始登记,工业用海,电力工业用海,非透水构筑物
187,初始登记,工业用海,电力工业用海,非透水构筑物
188,初始登记,渔业用海,围海养殖用海,围海养殖
189,初始登记,渔业用海,围海养殖用海,围海养殖
190,初始登记,工业用海,电力工业用海,非透水构筑物
191,初始登记,渔业用海,围海养殖用海,围海养殖
192,初始登记,渔业用海,围海养殖用海,围海养殖
193,初始登记,工业用海,电力工业用海,非透水构筑物
194,初始登记,渔业用海,围海养殖用海,围海养殖
195,初始登记,渔业用海,围海养殖用海,围海养殖
196,初始登记,渔业用海,围海养殖用海,围海养殖
197,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
198,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
199,初始登记,工业用海,电力工业用海,非透水构筑物
200,初始登记,工业用海,电力工业用海,非透水构筑物
201,初始登记,工业用海,电力工业用海,非透水构筑物
202,初始登记,工业用海,电力工业用海,非透水构筑物
203,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
204,初始登记,工业用海,电力工业用海,非透水构筑物
205,初始登记,工业用海,电力工业用海,非透水构筑物
206,初始登记,工业用海,电力工业用海,非透水构筑物
207,初始登记,工业用海,电力工业用海,非透水构筑物
208,初始登记,工业用海,电力工业用海,非透水构筑物
209,初始登记,工业用海,电力工业用海,非透水构筑物
210,初始登记,工业用海,电力工业用海,非透水构筑物
211,初始登记,工业用海,电力工业用海,非透水构筑物
212,初始登记,工业用海,电力工业用海,非透水构筑物
213,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
214,初始登记,工业用海,电力工业用海,非透水构筑物
215,初始登记,工业用海,电力工业用海,非透水构筑物
216,初始登记,工业用海,电力工业用海,非透水构筑物
217,初始登记,工业用海,电力工业用海,非透水构筑物
218,初始登记,工业用海,电力工业用海,非透水构筑物
219,初始登记,工业用海,电力工业用海,非透水构筑物
220,初始登记,工业用海,电力工业用海,非透水构筑物
221,初始登记,工业用海,电力工业用海,非透水构筑物
222,初始登记,工业用海,电力工业用海,非透水构筑物
223,初始登记,渔业用海,开放式养殖用海,开放式养殖
224,初始登记,工业用海,电力工业用海,非透水构筑物
225,初始登记,工业用海,电力工业用海,非透水构筑物
226,初始登记,工业用海,电力工业用海,非透水构筑物
227,初始登记,工业用海,电力工业用海,非透水构筑物
228,初始登记,渔业用海,围海养殖用海,围海养殖
229,初始登记,渔业用海,围海养殖用海,围海养殖
230,初始登记,渔业用海,围海养殖用海,围海养殖
231,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
232,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
233,初始登记,工业用海,电力工业用海,非透水构筑物
234,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
235,初始登记,工业用海,电力工业用海,非透水构筑物
236,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
237,初始登记,工业用海,电力工业用海,非透水构筑物
238,初始登记,工业用海,电力工业用海,非透水构筑物
239,初始登记,工业用海,电力工业用海,非透水构筑物
240,初始登记,工业用海,电力工业用海,非透水构筑物
241,初始登记,工业用海,电力工业用海,非透水构筑物
242,初始登记,工业用海,电力工业用海,非透水构筑物
243,初始登记,工业用海,电力工业用海,非透水构筑物
244,初始登记,工业用海,电力工业用海,非透水构筑物
245,初始登记,工业用海,电力工业用海,非透水构筑物
246,初始登记,工业用海,电力工业用海,非透水构筑物
247,初始登记,工业用海,电力工业用海,非透水构筑物
248,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
249,初始登记,工业用海,电力工业用海,非透水构筑物
250,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
251,初始登记,工业用海,电力工业用海,非透水构筑物
252,初始登记,工业用海,电力工业用海,非透水构筑物
253,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
254,初始登记,工业用海,电力工业用海,非透水构筑物
255,初始登记,工业用海,电力工业用海,非透水构筑物
256,初始登记,工业用海,电力工业用海,非透水构筑物
257,初始登记,工业用海,电力工业用海,非透水构筑物
258,初始登记,工业用海,电力工业用海,非透水构筑物
259,初始登记,工业用海,电力工业用海,非透水构筑物
260,初始登记,工业用海,电力工业用海,非透水构筑物
261,初始登记,工业用海,电力工业用海,非透水构筑物
262,初始登记,工业用海,电力工业用海,非透水构筑物
263,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
264,初始登记,工业用海,电力工业用海,非透水构筑物
265,初始登记,工业用海,电力工业用海,非透水构筑物
266,初始登记,工业用海,电力工业用海,非透水构筑物
267,初始登记,工业用海,电力工业用海,非透水构筑物
268,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
269,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
270,初始登记,工业用海,电力工业用海,非透水构筑物
271,初始登记,工业用海,电力工业用海,非透水构筑物
272,初始登记,工业用海,电力工业用海,非透水构筑物
273,初始登记,工业用海,电力工业用海,非透水构筑物
274,初始登记,工业用海,电力工业用海,非透水构筑物
275,初始登记,工业用海,电力工业用海,建设填海造地
276,初始登记,工业用海,电力工业用海,非透水构筑物
277,初始登记,工业用海,电力工业用海,非透水构筑物
278,初始登记,工业用海,电力工业用海,非透水构筑物
279,初始登记,工业用海,电力工业用海,非透水构筑物
280,初始登记,工业用海,电力工业用海,非透水构筑物
281,初始登记,工业用海,电力工业用海,非透水构筑物
282,初始登记,工业用海,电力工业用海,非透水构筑物
283,初始登记,工业用海,电力工业用海,非透水构筑物
284,初始登记,工业用海,电力工业用海,非透水构筑物
285,初始登记,工业用海,电力工业用海,非透水构筑物
286,初始登记,工业用海,电力工业用海,非透水构筑物
287,初始登记,工业用海,电力工业用海,非透水构筑物
288,初始登记,工业用海,电力工业用海,非透水构筑物
289,初始登记,工业用海,电力工业用海,非透水构筑物
290,初始登记,工业用海,电力工业用海,非透水构筑物
291,初始登记,工业用海,电力工业用海,非透水构筑物
292,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
293,初始登记,工业用海,电力工业用海,非透水构筑物
294,初始登记,工业用海,电力工业用海,非透水构筑物
295,初始登记,工业用海,电力工业用海,非透水构筑物
296,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
297,初始登记,工业用海,电力工业用海,非透水构筑物
298,初始登记,工业用海,电力工业用海,非透水构筑物
299,初始登记,工业用海,电力工业用海,非透水构筑物
300,初始登记,工业用海,电力工业用海,非透水构筑物
301,初始登记,工业用海,电力工业用海,非透水构筑物
302,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
303,初始登记,工业用海,电力工业用海,非透水构筑物
304,初始登记,工业用海,电力工业用海,非透水构筑物
305,初始登记,渔业用海,开放式养殖用海,开放式养殖
306,初始登记,渔业用海,围海养殖用海,围海养殖
307,初始登记,工业用海,电力工业用海,非透水构筑物
308,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
309,初始登记,工业用海,电力工业用海,非透水构筑物
310,初始登记,渔业用海,围海养殖用海,围海养殖
311,初始登记,工业用海,电力工业用海,非透水构筑物
312,初始登记,工业用海,电力工业用海,非透水构筑物
313,初始登记,工业用海,电力工业用海,非透水构筑物
314,初始登记,工业用海,电力工业用海,非透水构筑物
315,初始登记,工业用海,电力工业用海,非透水构筑物
316,初始登记,工业用海,电力工业用海,非透水构筑物
317,初始登记,工业用海,电力工业用海,非透水构筑物
318,初始登记,工业用海,电力工业用海,非透水构筑物
319,初始登记,渔业用海,围海养殖用海,围海养殖
320,初始登记,工业用海,电力工业用海,非透水构筑物
321,初始登记,工业用海,电力工业用海,非透水构筑物
322,初始登记,工业用海,电力工业用海,非透水构筑物
323,初始登记,工业用海,电力工业用海,非透水构筑物
324,初始登记,工业用海,电力工业用海,非透水构筑物
325,初始登记,工业用海,电力工业用海,非透水构筑物
326,初始登记,工业用海,电力工业用海,非透水构筑物
327,初始登记,工业用海,电力工业用海,非透水构筑物
328,变更登记,渔业用海,围海养殖用海,围海养殖
329,初始登记,渔业用海,围海养殖用海,围海养殖
330,初始登记,渔业用海,围海养殖用海,围海养殖
331,变更登记,渔业用海,开放式养殖用海,开放式养殖
332,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
333,初始登记,工业用海,电力工业用海,非透水构筑物
334,初始登记,工业用海,电力工业用海,非透水构筑物
335,初始登记,工业用海,电力工业用海,非透水构筑物
336,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
337,初始登记,工业用海,电力工业用海,非透水构筑物
338,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
339,初始登记,工业用海,电力工业用海,非透水构筑物
340,初始登记,工业用海,电力工业用海,非透水构筑物
341,初始登记,工业用海,电力工业用海,非透水构筑物
342,初始登记,工业用海,电力工业用海,非透水构筑物
343,初始登记,工业用海,电力工业用海,非透水构筑物
344,初始登记,工业用海,电力工业用海,非透水构筑物
345,初始登记,工业用海,电力工业用海,非透水构筑物
346,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
347,初始登记,渔业用海,开放式养殖用海,围海养殖
348,初始登记,渔业用海,围海养殖用海,围海养殖
349,初始登记,渔业用海,围海养殖用海,围海养殖
350,初始登记,渔业用海,开放式养殖用海,开放式养殖
351,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
352,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
353,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
354,初始登记,工业用海,电力工业用海,非透水构筑物
355,初始登记,工业用海,电力工业用海,非透水构筑物
356,初始登记,工业用海,电力工业用海,非透水构筑物
357,初始登记,工业用海,电力工业用海,非透水构筑物
358,初始登记,工业用海,电力工业用海,非透水构筑物
359,初始登记,工业用海,电力工业用海,非透水构筑物
360,初始登记,工业用海,电力工业用海,非透水构筑物
361,初始登记,工业用海,电力工业用海,非透水构筑物
362,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
363,初始登记,工业用海,电力工业用海,非透水构筑物
364,初始登记,工业用海,电力工业用海,非透水构筑物
365,初始登记,渔业用海,围海养殖用海,围海养殖
366,初始登记,工业用海,电力工业用海,非透水构筑物
367,初始登记,渔业用海,开放式养殖用海,开放式养殖
368,初始登记,工业用海,电力工业用海,非透水构筑物
369,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
370,初始登记,工业用海,电力工业用海,非透水构筑物
371,初始登记,工业用海,电力工业用海,非透水构筑物
372,初始登记,工业用海,电力工业用海,非透水构筑物
373,初始登记,工业用海,电力工业用海,非透水构筑物
374,初始登记,工业用海,电力工业用海,非透水构筑物
375,初始登记,工业用海,电力工业用海,非透水构筑物
376,初始登记,工业用海,电力工业用海,非透水构筑物
377,初始登记,工业用海,电力工业用海,非透水构筑物
378,初始登记,工业用海,电力工业用海,非透水构筑物
